iter	Passed	Remaining
0	1	1746
1	3	1559
2	4	1465
3	5	1308
4	6	1316
5	7	1318
6	9	1312
7	10	1305
8	11	1297
9	13	1295
10	14	1291
11	15	1286
12	16	1283
13	18	1303
14	20	1316
15	21	1318
16	22	1319
17	24	1318
18	25	1320
19	26	1321
20	28	1317
21	29	1312
22	31	1321
23	32	1327
24	34	1334
25	35	1336
26	37	1337
27	38	1341
28	40	1345
29	41	1348
30	43	1350
31	44	1348
32	46	1349
33	47	1347
34	48	1346
35	50	1349
36	51	1347
37	53	1349
38	54	1351
39	56	1352
40	57	1353
41	59	1354
42	60	1342
43	61	1345
44	63	1348
45	64	1346
46	66	1344
47	67	1345
48	68	1331
49	69	1329
50	71	1328
51	72	1327
52	74	1324
53	75	1320
54	76	1317
55	78	1316
56	79	1315
57	80	1313
58	82	1310
59	83	1307
60	84	1304
61	86	1302
62	87	1300
63	88	1297
64	90	1294
65	91	1292
66	92	1290
67	94	1288
68	95	1286
69	96	1283
70	97	1281
71	99	1280
72	100	1277
73	101	1275
74	103	1272
75	104	1270
76	105	1268
77	107	1266
78	108	1264
79	109	1262
80	111	1260
81	112	1258
82	113	1256
83	115	1254
84	116	1252
85	117	1250
86	118	1247
87	120	1246
88	121	1244
89	123	1243
90	124	1242
91	125	1242
92	127	1240
93	128	1239
94	129	1237
95	131	1235
96	132	1234
97	133	1232
98	134	1228
99	136	1226
100	137	1226
101	139	1227
102	140	1226
103	142	1225
104	143	1224
105	145	1224
106	146	1226
107	148	1225
108	149	1222
109	150	1221
110	152	1220
111	153	1218
112	155	1216
113	156	1215
114	157	1212
115	158	1211
116	160	1210
117	161	1209
118	163	1208
119	164	1207
120	166	1206
121	167	1206
122	168	1204
123	170	1203
124	171	1202
125	173	1200
126	174	1198
127	175	1197
128	177	1195
129	178	1194
130	179	1193
131	181	1192
132	182	1191
133	184	1190
134	185	1188
135	186	1184
136	187	1182
137	189	1181
138	190	1179
139	191	1178
140	193	1176
141	194	1175
142	195	1173
143	197	1172
144	198	1170
145	200	1170
146	201	1168
147	202	1167
148	204	1166
149	205	1165
